"1987","San Francisco Giants","0.5556","4.8333","0.2600","3.68","1.3402"
"1992","Cincinnati Reds","0.5556","4.0741","0.2597","3.46","1.2565"
"1992","Minnesota Twins","0.5556","4.6111","0.2766","3.7","1.2826"
"1996","Los Angeles Dodgers","0.5556","4.3395","0.2521","3.48","1.3114"
"1997","Seattle Mariners","0.5556","5.7099","0.2804","4.79","1.4390"
"1997","San Francisco Giants","0.5556","4.8395","0.2580","4.41","1.4211"
"2000","Cleveland Indians","0.5556","5.8642","0.2884","4.84","1.4931"
"2001","San Francisco Giants","0.5556","4.9321","0.2660","4.18","1.3827"
"2003","Minnesota Twins","0.5556","4.9444","0.2771","4.41","1.3224"
"2005","Atlanta Braves","0.5556","4.7469","0.2649","3.98","1.3765"
"2006","Chicago White Sox","0.5556","5.3580","0.2804","4.61","1.3491"
"2007","Arizona Diamondbacks","0.5556","4.3951","0.2501","4.13","1.3663"
"2008","Milwaukee Brewers","0.5556","4.6296","0.2526","3.85","1.3326"
"2010","San Diego Padres","0.5556","4.1049","0.2462","3.39","1.2497"
"2010","Texas Rangers","0.5556","4.8580","0.2761","3.93","1.3073"
"2011","Boston Red Sox","0.5556","5.4012","0.2802","4.2","1.3073"
"2011","St. Louis Cardinals","0.5556","4.7037","0.2735","3.74","1.3093"
"2012","Tampa Bay Rays","0.5556","4.3025","0.2395","3.19","1.1674"
"2013","Cincinnati Reds","0.5556","4.3086","0.2491","3.38","1.1859"
"2014","Detroit Tigers","0.5556","4.6728","0.2766","4.01","1.3285"
"2014","St. Louis Cardinals","0.5556","3.8210","0.2527","3.5","1.2284"
"2015","New York Mets","0.5556","4.2160","0.2444","3.43","1.1824"
"1981","Houston Astros","0.5545","3.5818","0.2567","2.66","1.1535"
"1983","Philadelphia Phillies","0.5521","4.2699","0.2492","3.34","1.2904"
"1996","Texas Rangers","0.5521","5.6933","0.2845","4.66","1.4663"
"1998","Chicago Cubs","0.5521","5.0982","0.2645","4.5","1.4335"
"2007","Colorado Rockies","0.5521","5.2761","0.2796","4.32","1.3640"
"1981","New York Yankees","0.5514","3.9346","0.2519","2.9","1.1568"
"1981","Philadelphia Phillies","0.5514","4.5888","0.2734","4.05","1.3645"
"1981","Detroit Tigers","0.5505","3.9174","0.2561","3.53","1.2365"
"1978","San Francisco Giants","0.5494","3.7840","0.2481","3.3","1.2551"
"1979","Houston Astros","0.5494","3.5988","0.2562","3.2","1.2222"
"1982","Atlanta Braves","0.5494","4.5617","0.2562","3.82","1.3621"
"1982","Boston Red Sox","0.5494","4.6481","0.2745","4.03","1.3957"
"1982","Philadelphia Phillies","0.5494","4.0988","0.2598","3.61","1.2805"
"1983","Toronto Blue Jays","0.5494","4.9074","0.2770","4.12","1.3381"
"1985","Cincinnati Reds","0.5494","4.1790","0.2550","3.71","1.2908"
"1987","New York Yankees","0.5494","4.8642","0.2622","4.36","1.3834"
